Collection,Title,IA Creator,IA Publisher,Date,URL,IA ID,IA Subject,Zones,Illustration Level,Illustration Note,General Note,Gov Doc,Fiction / Poetry / Lit Crit,Diary / Memoir
,"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it","Forbush, Edward Howe, 1858-1929","Boston, Wright & Potter printing co., state printers",1916,http://www.archive.org/details/domesticcatbirdk00forbrich/mode/thumb?view=theater,domesticcatbirdk00forbrich,Cats,1.2,Medium,"Line drawings, photos",,,,
,"""All's fair...""","Wormser, Richard Edward, 1908-",New York : Modern Age Books,c1937,http://www.archive.org/details/allsfair00wormrich/mode/thumb?view=theater,allsfair00wormrich,,"0.5,2.3,11.4",,,,,,
,"""Billy"" Sunday, the man and his message  : with his own words which have won thousands for Christ","Ellis, William T. (Thomas), 1873-",Philadelphia ; Chicago [etc.] : John C. Winston Company,c1917,http://www.archive.org/details/billysundaymanan00ellirich/mode/thumb?view=theater,billysundaymanan00ellirich,"Sunday, Billy, 1862-1935","8.2,12.0",,,,,,
,"""Oh, ranger!"" A book about the national parks","Albright, Horace M. (Horace Marden), 1890-1987","Stanford University, Calif., Stanford university press",1928,http://www.archive.org/details/ohrangerbookabou00albrrich/mode/thumb?view=theater,ohrangerbookabou00albrrich,"United States. National Park Service, National parks and reserves -- United States, Nature study",2.1,Medium,Photos,Great marginalia and old photos,,,
,"""Television: the revolution,""","Lee, Robert Edwin, 1918-","New York, Essential Books",1944,http://www.archive.org/details/televisionrevolu00leerrich/mode/thumb?view=theater,televisionrevolu00leerrich,Television,7.4,,,,,,
,"""The land is mine""; from tenancy to family farm ownership","Maris, Paul V. (Paul Vestal), b. 1886","Washington, U.S. Govt. Print. Off.",1950,http://www.archive.org/details/thelandisminefro00maririch/mode/thumb?view=theater,thelandisminefro00maririch,"Land tenure, Farm tenancy, Agricultural credit",2.0,,,,,,
,"""The system,"" as uncovered by the San Francisco graft prosecution","Hichborn, Franklin, 1869-1963","San Francisco, Press of the James H. Barry Company",1915,http://www.archive.org/details/thesystemasuncov00hichrich/mode/thumb?view=theater,thesystemasuncov00hichrich,"Political corruption -- California San Francisco, San Francisco (Calif.) -- Politics and government","0.0,10.2",,,,,,
,"""We made a mistake"" - Hitler. Russia's surprising defense against Germany","Zacharoff, Lucien, 1907- ed","New York, London, D. Appleton-Century company, incorporated",1941,http://www.archive.org/details/wemademistakehit00zachrich/mode/thumb?view=theater,wemademistakehit00zachrich,"Russia, World War, 1939-1945","11.0,0.6",,,,,,
,16mm film combined catalog,U.S. Atomic Energy Commission,[Washington] United States Atomic Energy Commission,1972,http://www.archive.org/details/combined16mmfilm00usatrich/mode/thumb?view=theater,combined16mmfilm00usatrich,,"11.1,7.2,10.1",,,,x,,
,16mm film combined catalog,U.S. Atomic Energy Commission,[Washington] United States Atomic Energy Commission,1967,http://www.archive.org/details/16mmfilmcombined00usatrich/mode/thumb?view=theater,16mmfilmcombined00usatrich,,"11.1,7.2,10.1",,,,x,,
