Stack,Bank,Row,Zone,Subzone,Zones,Topics,Periodicals,Special Collection,Finding Aid
1,1,1,0,0,0.0,San Francisco,,19th c. Serial Sets,
1,1,2,0,0,0.0,Los Angeles,,,
1,1,3,0,0,0.0,"Ecology, Natural History",,,
1,1,4,0,0,0.0,"San Francisco, Public Transit",,,
1,1,5,0,0,0.0,Chinese Diaspora in SF and Beyond,,,
1,1,6,0,0,0.0,"San Francisco, Neighborhoods",,,
1,1,7,0,0,0.0,San Francisco,,,
1,1,8,0,0,0.0,"San Francisco, Transportation",,,
1,1,9,0,0,0.0,San Francisco,,,
1,1,10,0,0,0.0,San Francisco,,,
1,2,1,0,1,0.1,"San Diego, U.S. Mexico Border Region",,,
1,2,2,0,1,0.1,"Los Angeles, Southern California",,,
1,2,3,0,1,0.1,"California Coast, California Deserts",,,
1,2,4,0,1,0.1,"Delta, Central Valley, Water Projects",,,
1,2,5,0,0,0.0,East Bay Cities,,,
1,2,6,0,0,0.0,"Greater Bay Area, 9-County Area, Treasure Island, California Indigeous Peoples, California Indians",,,
1,2,7,0,1,0.1,California Natural History,,,
1,2,8,0,1,0.1,California,,,
1,2,9,0,1,0.1,California,,,
1,2,10,0,1,0.1,California,,,
1,3,1,0,1,0.1,California History,,,
1,3,2,0,1,0.1,California History,,,
1,3,3,0,1,0.1,"California History, Utopianism",,,
1,3,4,0,1,0.1,Northern California and Sierras,Modoc County Historical Society^Journal of the,,
1,3,5,0,1,0.1,Oregon Peoples,,,
1,3,6,0,1,0.1,Oregon Landscape,,,
1,3,7,0,1,0.1,Oregon,,,
1,3,8,0,1,0.1,Oregon,Oregon Historical Quarterly,,
1,3,9,0,1,0.1,"Oregon, Water",Water Supply Papers (1907–1924),,
1,3,10,0,0,0.0,Phone Books,,,
1,4,1,0,2,0.2,"Hawai'i, American West",,,
1,4,2,0,2,0.2,"American Southwest, Arizona, New Mexico",Arizona Highways,,
1,4,3,0,2,0.2,"Airzona, Hopi Nation",Arizona and the West,,
1,4,4,0,2,0.2,"Nevada, Las Vegas",,,
1,4,5,0,2,0.2,American Southwest,,,
1,4,6,0,2,0.2,Utah,,,
1,4,7,0,2,0.2,"Pacific Northwest, Columbia River",,,
1,4,8,0,2,0.2,Washington,,,
1,4,9,0,2,0.2,Alaska,,,
1,4,10,0,2,0.2,Alaska,,,
1,5,1,0,5,0.5,Gulf Coast States,,,
1,5,2,0,5,0.5,"Central U.S., Texas",Frontier Times,,
1,5,3,0,5,0.5,"Central U.S., Kansas, Iowa",,,
1,5,4,0,3,0.3,"Northern Plains, Midwest",,,
1,5,5,0,3,0.3,"Western U.S., Interior West",,,
1,5,6,0,3,0.3,"Western U.S., Interior West",,,
1,5,7,0,3,0.3,"Idaho, Wyoming, Colorado",,,
1,5,8,0,3,0.3,Montana,"American West^The, True West, Old West",,
1,5,9,0,3,0.3,Interior West U.S.,Frontier,,
1,5,10,0,3,0.3,Interior West U.S.,High Country,,
1,6,1,0,5,0.5,Tennessee Valley Authority (TVA),,,
1,6,2,0,5,0.5,Tennessee Valley Authority (TVA),,,
